"Name","Live Bytes","Live Objects"
"sun.net.www.protocol.file.Handler","32 B (0%)","2 (0%)"
"com.fasterxml.classmate.TypeBindings","32 B (0%)","1 (0%)"
"java.util.concurrent.SynchronousQueue$TransferQueue$QNode","32 B (0%)","1 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Restructure[]","24 B (0%)","1 (0%)"
"org.springframework.data.repository.query.parser.PartTree$Subject","24 B (0%)","1 (0%)"
"org.h2.mvstore.WriteBuffer","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.annotation.JsonFormat$Features","24 B (0%)","1 (0%)"
"org.apache.catalina.mapper.Mapper$MappedContext","24 B (0%)","1 (0%)"
"org.springframework.data.geo.format.DistanceFormatter","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration$$FastClassBySpringCGLIB$$f1cb4522","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ClobTypeDescriptor","24 B (0%)","1 (0%)"
"org.hibernate.event.internal.DefaultMergeEventListener","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.CurrencyTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration$JacksonCodecConfiguration$$FastClassBySpringCGLIB$$b3c4d607","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.constant.LongConstant[]","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.loading.ClassInjector$UsingLookup$Dispatcher$Creator[]","24 B (0%)","1 (0%)"
"jdk.internal.jimage.ImageReader","24 B (0%)","1 (0%)"
"org.h2.mvstore.type.ObjectDataType$IntegerType","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.TypeResolutionStrategy$Passive[]","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl$ContentDriver","24 B (0%)","1 (0%)"
"java.util.Locale$Cache","24 B (0%)","1 (0%)"
"jdk.internal.module.ModuleBootstrap$SafeModuleFinder","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.ResourceProperties$Chain","24 B (0%)","1 (0%)"
"org.thymeleaf.standard.processor.StandardTranslationDocTypeProcessor","24 B (0%)","1 (0%)"
"java.lang.ClassValue$Version","24 B (0%)","1 (0%)"
"org.springframework.data.repository.query.ReturnedType$CacheKey","24 B (0%)","1 (0%)"
"org.apache.catalina.connector.Connector[]","24 B (0%)","1 (0%)"
"org.springframework.web.servlet.handler.HandlerExceptionResolverComposite","24 B (0%)","1 (0%)"
"org.springframework.data.repository.util.QueryExecutionConverters$NullableWrapperToJdk8OptionalConverter","24 B (0%)","1 (0%)"
"sun.nio.ch.FileLockTable","24 B (0%)","1 (0%)"
"java.time.ZoneOffset[]","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.context.AbstractMappingContext$PersistentPropertyFilter[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.ServerProperties$Tomcat$Resource","24 B (0%)","1 (0%)"
"org.springframework.web.servlet.view.ViewResolverComposite","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathSplit","24 B (0%)","1 (0%)"
"org.thymeleaf.spring5.templateresource.SpringResourceTemplateResource","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager","24 B (0%)","1 (0%)"
"org.springframework.web.util.UrlPathHelper$1","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.LocalDateJavaDescriptor","24 B (0%)","1 (0%)"
"org.thymeleaf.templateparser.reader.BlockAwareReader$BlockAction[]","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.FieldLocator$ForClassHierarchy$Factory","24 B (0%)","1 (0%)"
"org.hibernate.metamodel.model.domain.NavigableRole","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.constant.NullConstant","24 B (0%)","1 (0%)"
"org.h2.jdbc.JdbcConnection$Settings","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.BigDecimalTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.TypeCache$Sort[]","24 B (0%)","1 (0%)"
"com.fasterxml.classmate.util.ResolvedTypeKey","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat$$FastClassBySpringCGLIB$$57e7b6e5","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.LocalTimeDeserializer","24 B (0%)","1 (0%)"
"org.springframework.aop.interceptor.ExposeInvocationInterceptor$1","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.LocalTimeJavaDescriptor","24 B (0%)","1 (0%)"
"org.springframework.core.env.CommandLineArgs","24 B (0%)","1 (0%)"
"jdk.internal.access.JavaSecurityAccess$ProtectionDomainCache[]","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.cfg.ContextAttributes$Impl","24 B (0%)","1 (0%)"
"org.springframework.context.event.EventExpressionEvaluator","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.SerializableTypeDescriptor","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.YearMonthDeserializer","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodInvoker$Simple[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration$$FastClassBySpringCGLIB$$596316ac","24 B (0%)","1 (0%)"
"org.springframework.boot.jdbc.SchemaManagement[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Origin$Binder","24 B (0%)","1 (0%)"
"org.hibernate.type.BasicTypeRegistry","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.client.RestTemplateAutoConfiguration$$FastClassBySpringCGLIB$$79a6429c","24 B (0%)","1 (0%)"
"org.springframework.boot.cloud.CloudPlatform$1","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.ClassWriterStrategy$Default$2","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.ClassWriterStrategy$Default$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$ThymeleafWebMvcConfiguration$ThymeleafViewResolverConfiguration$$EnhancerBySpringCGLIB$$491de872$$FastClassBySpringCGLIB$$8c8a4a79","24 B (0%)","1 (0%)"
"org.springframework.boot.cloud.CloudPlatform$3","24 B (0%)","1 (0%)"
"org.springframework.boot.cloud.CloudPlatform$2","24 B (0%)","1 (0%)"
"org.thymeleaf.engine.TemplateEnd","24 B (0%)","1 (0%)"
"sun.nio.cs.StandardCharsets","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.context.PersistentPropertyPathFactory","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ZonedDateTimeJavaDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$Dispatcher$CreationAction[]","24 B (0%)","1 (0%)"
"java.net.Inet6AddressImpl","24 B (0%)","1 (0%)"
"org.hibernate.dialect.function.StandardAnsiSqlAggregationFunctions$SumFunction","24 B (0%)","1 (0%)"
"sun.management.RuntimeImpl","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperCall$Binder[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$ThymeleafDefaultConfiguration$$EnhancerBySpringCGLIB$$74652c43$$FastClassBySpringCGLIB$$990a4ce","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcProperties$Template","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$Factory[]","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.ClassLoaderAccessImpl","24 B (0%)","1 (0%)"
"java.time.ZoneRegion","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.DynamicType$Default$Dispatcher$CreationAction[]","24 B (0%)","1 (0%)"
"java.util.Collections$EmptyMap","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.DefaultMethod$Binder","24 B (0%)","1 (0%)"
"org.springframework.beans.support.ResourceEditorRegistrar","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$TransactionTemplateConfiguration$$FastClassBySpringCGLIB$$3ce48f3d","24 B (0%)","1 (0%)"
"org.springframework.objenesis.SpringObjenesis","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage$Style$2","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage$Style$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.client.RestTemplateAutoConfiguration$$EnhancerBySpringCGLIB$$50b2e328$$FastClassBySpringCGLIB$$627faabc","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation$1","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation$2","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ClassDumpAction$Dispatcher$Disabled[]","24 B (0%)","1 (0%)"
"org.hibernate.engine.jdbc.dialect.internal.DialectFactoryImpl","24 B (0%)","1 (0%)"
"net.bytebuddy.ClassFileVersion$VersionLocator$ForJava9CapableVm","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.NClobTypeDescriptor","24 B (0%)","1 (0%)"
"org.hibernate.exception.internal.SQLStateConverter$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$TomcatWebServerFactoryCustomizerConfiguration$$FastClassBySpringCGLIB$$3b7ed949","24 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil$1","24 B (0%)","1 (0%)"
"org.hibernate.jpa.internal.JpaComplianceImpl","24 B (0%)","1 (0%)"
"org.springframework.boot.origin.TextResourceOrigin$Location","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.sql.spi.SqlTypeDescriptorRegistry","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.CalendarDateTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Default$Binder","24 B (0%)","1 (0%)"
"java.lang.ClassLoader[]","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.PropertiesEditor","24 B (0%)","1 (0%)"
"org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$OriginTypeResolver$1","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$OriginTypeResolver$2","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.DurationJavaDescriptor","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$NamedParameterJdbcTemplateConfiguration$$EnhancerBySpringCGLIB$$c0090f44$$FastClassBySpringCGLIB$$1afc772d","24 B (0%)","1 (0%)"
"org.springframework.boot.builder.ParentContextCloserApplicationListener","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Merger$Directional[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.This$Binder[]","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Unit[]","24 B (0%)","1 (0%)"
"org.hibernate.type.TypeResolver","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.SuperMethodCall$Appender$TerminationHandler[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Context$Default$Factory[]","24 B (0%)","1 (0%)"
"javax.persistence.CacheRetrieveMode[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$ErrorPageCustomizer","24 B (0%)","1 (0%)"
"org.springframework.data.repository.core.support.SurroundingTransactionDetectorMethodInterceptor","24 B (0%)","1 (0%)"
"java.io.File$PathStatus[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration$$FastClassBySpringCGLIB$$696432c0","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.embedded.TomcatWebServerFactoryCustomizer","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration$$EnhancerBySpringCGLIB$$11306938$$FastClassBySpringCGLIB$$cfa5e572","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Dispatcher$CreationAction","24 B (0%)","1 (0%)"
"org.springframework.boot.web.servlet.server.DocumentRoot","24 B (0%)","1 (0%)"
"org.apache.logging.log4j.spi.LoggerRegistry","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Reifying$1","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Reifying$2","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.BootstrapContextImpl$1","24 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarProviderImpl","24 B (0%)","1 (0%)"
"org.slf4j.impl.StaticLoggerBinder","24 B (0%)","1 (0%)"
"org.springframework.data.geo.format.PointFormatter","24 B (0%)","1 (0%)"
"sun.nio.cs.UTF_16","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.YearDeserializer","24 B (0%)","1 (0%)"
"org.springframework.cglib.core.internal.LoadingCache","24 B (0%)","1 (0%)"
"org.springframework.jmx.export.naming.MetadataNamingStrategy","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.assign.Assigner$Typing[]","24 B (0%)","1 (0%)"
"sun.net.ProgressMonitor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.FieldValue$Binder","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.http.HttpProperties","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$1","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$2","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$3","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$4","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$5","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$6","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$7","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$8","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$9","24 B (0%)","1 (0%)"
"org.apache.tomcat.websocket.server.WsFilter","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.UUIDTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationSource$Empty[]","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl$NSContentDriver","24 B (0%)","1 (0%)"
"org.springframework.boot.context.properties.source.DefaultPropertyMapper","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.CurrencyEditor","24 B (0%)","1 (0%)"
"org.h2.mvstore.cache.FilePathCache","24 B (0%)","1 (0%)"
"sun.util.locale.BaseLocale$Cache","24 B (0%)","1 (0%)"
"org.hibernate.query.ImmutableEntityUpdateQueryHandlingMode[]","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.LocalDateTimeDeserializer","24 B (0%)","1 (0%)"
"net.bytebuddy.NamingStrategy$SuffixingRandom$BaseNameResolver$ForUnnamedType[]","24 B (0%)","1 (0%)"
"org.hibernate.cfg.MetadataSourceType[]","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$10","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$11","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.DeclaringTypeResolver","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.DoubleTypeDescriptor","24 B (0%)","1 (0%)"
"ch.qos.logback.core.subst.Node$Type[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.AnnotationRetention[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.This$Binder","24 B (0%)","1 (0%)"
"sun.rmi.transport.SequenceEntry","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.loading.ClassInjector$UsingLookup$Dispatcher$Creator","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.MethodAttributeAppender$NoOp","24 B (0%)","1 (0%)"
"sun.util.locale.provider.TimeZoneNameProviderImpl","24 B (0%)","1 (0%)"
"org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathNio","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$NamedParameterJdbcTemplateConfiguration$$FastClassBySpringCGLIB$$2cc8738","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$JdbcTemplateConfiguration$$FastClassBySpringCGLIB$$d6b54608","24 B (0%)","1 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatStarter","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Harmonizer$ForJavaMethod","24 B (0%)","1 (0%)"
"org.hibernate.internal.SessionOwnerBehavior[]","24 B (0%)","1 (0%)"
"jdk.internal.logger.BootstrapLogger$RedirectedLoggers","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperMethod$Binder[]","24 B (0%)","1 (0%)"
"org.thymeleaf.templateparser.markup.decoupled.StandardDecoupledTemplateLogicResolver","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.transaction.TransactionProperties","24 B (0%)","1 (0%)"
"org.hibernate.persister.walking.internal.EntityIdentifierDefinitionHelper$1","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.PrimitiveByteArrayTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.data.repository.query.ResultProcessor$ProjectingConverter","24 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.SocketBufferHandler$1","24 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport","24 B (0%)","1 (0%)"
"org.springframework.data.repository.support.Repositories$EmptyRepositoryFactoryInformation[]","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling$2","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling$1","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodInvoker$Simple","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ByteArrayTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.web.context.support.ServletContextPropertySource","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.PropertyPath$Key","24 B (0%)","1 (0%)"
"org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation[]","24 B (0%)","1 (0%)"
"org.springframework.data.repository.support.Repositories$EmptyRepositoryFactoryInformation","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.freemarker.FreeMarkerTemplateAvailabilityProvider","24 B (0%)","1 (0%)"
"org.springframework.data.repository.util.QueryExecutionConverters$NullableWrapperToCompletableFutureConverter","24 B (0%)","1 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceType[]","24 B (0%)","1 (0%)"
"org.springframework.boot.context.ContextIdApplicationContextInitializer$ContextId","24 B (0%)","1 (0%)"
"org.springframework.data.repository.core.support.TransactionalRepositoryProxyPostProcessor","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathAsync","24 B (0%)","1 (0%)"
"org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperCall$Binder","24 B (0%)","1 (0%)"
"org.hibernate.bytecode.internal.bytebuddy.BytecodeProviderImpl","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration$$FastClassBySpringCGLIB$$f8fbe79f","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.model.BasicPersistentEntity$$Lambda$631.0x000000080114a890","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties$LocaleResolver[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.assign.reference.ReferenceTypeAwareAssigner[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.info.ProjectInfoProperties","24 B (0%)","1 (0%)"
"net.bytebuddy.ClassFileVersion$VersionLocator$CreationAction[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$Xa","24 B (0%)","1 (0%)"
"org.hibernate.type.ObjectType","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.JpaQueryFactory[]","24 B (0%)","1 (0%)"
"sun.nio.cs.ISO_8859_1","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$EmbeddedDatabaseCondition","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$8","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$9","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$6","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$7","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$4","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$5","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$2","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$3","24 B (0%)","1 (0%)"
"org.springframework.context.annotation.MBeanExportConfiguration$SpecificPlatform$1","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.ClassmateContext","24 B (0%)","1 (0%)"
"org.springframework.context.annotation.MBeanExportConfiguration$SpecificPlatform$2","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration$$EnhancerBySpringCGLIB$$a55f886e$$FastClassBySpringCGLIB$$1a54c08b","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.LoadedTypeInitializer$NoOp","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.ArgumentTypeResolver","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.ser.impl.FailingSerializer","24 B (0%)","1 (0%)"
"sun.nio.fs.WindowsSecurityDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Default$Binder[]","24 B (0%)","1 (0%)"
"net.bytebuddy.pool.TypePool$Empty","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.LongTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.jndi.JndiTemplate","24 B (0%)","1 (0%)"
"java.security.Policy$PolicyInfo","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration$$EnhancerBySpringCGLIB$$f5ddc3cc$$FastClassBySpringCGLIB$$6f7973d8","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$JdbcTemplateConfiguration$$EnhancerBySpringCGLIB$$ce281814$$FastClassBySpringCGLIB$$987877e3","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ShortTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$TerminationHandler$Default[]","24 B (0%)","1 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager$Property[]","24 B (0%)","1 (0%)"
"org.hibernate.dialect.function.StandardAnsiSqlAggregationFunctions$AvgFunction","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$1","24 B (0%)","1 (0%)"
"org.hibernate.engine.query.spi.NamedParameterDescriptor","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$5","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$4","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$3","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$2","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodNameEqualityResolver[]","24 B (0%)","1 (0%)"
"sun.nio.cs.MS1252","24 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl","24 B (0%)","1 (0%)"
"java.io.InputStreamReader","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.PrimitiveCharacterArrayTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.Transformer$NoOp","24 B (0%)","1 (0%)"
"net.bytebuddy.pool.TypePool$CacheProvider$NoOp[]","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.CharArrayPropertyEditor","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.context.AbstractMappingContext$PersistentPropertyFilter","24 B (0%)","1 (0%)"
"org.h2.value.CompareMode","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$ThymeleafJava8TimeDialect$$EnhancerBySpringCGLIB$$81b25331$$FastClassBySpringCGLIB$$1c2ae419","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.model.ClassGeneratingPropertyAccessorFactory","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.member.MethodVariableAccess$MethodLoading$TypeCastingHandler$NoOp[]","24 B (0%)","1 (0%)"
